university,academic_exam,commission
CEU San Pablo,Yes,Yes
CEU Cardenal Herrera,Yes,Yes
CEU Fernando III,Yes,Yes
CEU Abat Oliba,Yes,Yes
Centro Universitario Beato Luis Belda,Yes,No
Universidad Europea de Madrid,No,Yes
Universidad Europea de Canarias,No,Yes
Universidad Alfonso X El Sabio,Yes,No
Universidad de Nebrija,No,No
Universidad Francisco de Vitoria,No,No
Universidad Camilo José Cela,Yes,No
Universidad Loyola,No,No
Universidad Católica de Murcia,No,No
Universidad Católica de Valencia,Yes,No
Universidad San Jorge,No,No
Blanquerna-Universitat Ramón Llull,Yes,No
Universitat Internacional de Catalunya,Yes,No
Universidad de Deusto,No,No
Universidad de Navarra,Yes,No
